Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
Date,,,,,,
2022-01-01,47686.8125,47827.3125,46288.484375,46311.74609375,24582667004,
2022-01-02,47345.21875,47881.40625,46856.9375,47680.92578125,27951569547,
2022-01-03,46458.1171875,47510.7265625,45835.96484375,47343.54296875,33071628362,
2022-01-04,45897.57421875,47406.546875,45752.46484375,46458.8515625,42494677905,
2022-01-05,43569.00390625,46929.046875,42798.22265625,45899.359375,36851084859,
2022-01-06,43160.9296875,43748.71875,42645.5390625,43565.51171875,30208048289,
2022-01-07,41557.90234375,43153.5703125,41077.4453125,43153.5703125,84196607520,
2022-01-08,41733.94140625,42228.94140625,40672.27734375,41561.46484375,28066355845,
2022-01-09,41911.6015625,42663.94921875,41338.16015625,41734.7265625,21294384372,
2022-01-10,41821.26171875,42199.484375,39796.5703125,41910.23046875,32104232331,
2022-01-11,42735.85546875,43001.15625,41407.75390625,41819.5078125,26327648900,
2022-01-12,43949.1015625,44135.3671875,42528.98828125,42742.1796875,33499938689,
2022-01-13,42591.5703125,44278.421875,42447.04296875,43946.7421875,47691135082,
2022-01-14,43099.69921875,43346.6875,41982.6171875,42598.87109375,23577403399,
2022-01-15,43177.3984375,43724.671875,42669.03515625,43101.8984375,18371348298,
2022-01-16,43113.87890625,43436.80859375,42691.0234375,43172.0390625,17902097845,
2022-01-17,42250.55078125,43179.390625,41680.3203125,43118.12109375,21690904261,
2022-01-18,42375.6328125,42534.40234375,41392.21484375,42250.07421875,22417209227,
2022-01-19,41744.328125,42478.3046875,41242.9140625,42374.0390625,23091543258,
2022-01-20,40680.41796875,43413.0234375,40672.82421875,41744.02734375,20382033940,1980.8930880311182
2022-01-21,36457.31640625,41060.52734375,35791.42578125,40699.60546875,43011992031,2257.0889302321525
2022-01-22,35030.25,36688.8125,34349.25,36471.58984375,39714385405,2600.2791876047986
2022-01-23,36276.8046875,36433.3125,34784.96875,35047.359375,26017975951,2710.032491639755
2022-01-24,36654.328125,37247.51953125,33184.05859375,36275.734375,41856658597,2736.77700095334
2022-01-25,36954.00390625,37444.5703125,35779.4296875,36654.8046875,26428189594,2832.7578054759606
2022-01-26,36852.12109375,38825.41015625,36374.90625,36950.515625,31324598034,2913.607064539524
