Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-01-03,325.0381164550781,328.193826323574,320.2123066401213,325.6207149726234,28865100,
2022-01-04,319.464599609375,325.4750144685873,316.65843157459085,325.1157242107018,32674300,
2022-01-05,307.2010192871094,316.6098902048438,306.8126302270797,316.4059615017749,40054300,
2022-01-06,304.7735595703125,309.45372640637964,302.45288523458527,304.0647280316112,39646100,
2022-01-07,304.92889404296875,307.3175147707154,301.0934819267639,305.0356884344486,32720000,
2022-01-10,305.1521911621094,305.5891473330001,295.85014516336383,300.5108727026774,44289500,
2022-01-11,305.8416748046875,307.42435964932554,300.8993516399399,304.28808876960994,29386800,
2022-01-12,309.03619384765625,314.0270840292815,307.88071630388504,310.3956001101081,34372200,
2022-01-13,295.95697021484375,311.5704653903933,295.1801920885378,311.172356970201,45366000,
2022-01-14,301.20037841796875,301.8023860148915,294.93749627384517,295.4229900948721,39846400,
2022-01-18,293.8693542480469,300.8119087883123,292.9857520873315,295.2481695047707,42333200,
2022-01-19,294.5295715332031,304.80263400058055,293.9178744109828,297.4037153433391,45933900,
2022-01-20,292.8498229980469,302.6082350893692,292.4031770647772,300.10310048812516,35380700,
2022-01-21,287.44140625,295.28697160618094,287.033578493321,293.9081860566442,57984400,
2022-01-24,287.77154541015625,288.4900666398452,268.0410733422131,283.72254434338123,85731500,
2022-01-25,280.1201477050781,286.43156585377636,276.89649203266447,283.06223836449163,72848600,
2022-01-26,288.1017150878906,299.549666894418,284.52848792353353,299.054453748856,90428900,
2022-01-27,291.14093017578125,298.38448966704834,289.28634022908506,293.8791224299939,53481300,
2022-01-28,299.3165588378906,299.53017723221643,285.90722640472563,291.51953189326997,49743700,
2022-01-31,301.9576721191406,303.31704855180146,297.4814047993765,299.9865688837364,46444500,11.024720803032274
2022-02-01,299.8020935058594,301.61783528992044,296.27740433341836,301.40421686637296,40950400,9.289958044522141
2022-02-02,304.36572265625,305.97756540493566,299.91861310216416,300.64685370133134,36636000,8.0260939904689
2022-02-03,292.50994873046875,302.20041346720024,291.2573667110929,300.510875273196,43730000,7.786004972379274
2022-02-04,297.06390380859375,299.8409137013529,291.26710752758504,291.5001350340584,35096500,7.570487173372722
2022-02-07,292.21868896484375,298.90877717897297,291.1991343489562,297.28724470910936,28533300,7.369557471629741
2022-02-08,295.7239685058594,296.6949560645553,291.24773008372165,292.5100020571509,32421200,7.048697480020136
2022-02-09,302.1810302734375,302.88014250197796,298.47188031442045,300.8799104988018,31284700,6.810649701306967
2022-02-10,293.6071472167969,300.1515921967182,291.97589564951016,295.21898970549006,45386200,6.006049999031642
2022-02-11,286.480224609375,295.46186100067564,285.6840075689062,294.3937685844606,39175600,6.260661740284034
2022-02-14,286.4413146972656,288.15026219267463,282.89721622151654,285.2469893955168,36359500,6.251071869980386
2022-02-15,291.7525939941406,292.0730068075683,288.40267551101897,291.30594807378594,27058300,6.260167903390648
2022-02-16,291.4120788574219,292.7450776057495,285.7492393471848,290.3125894683754,29982100,6.2659324257389075
2022-02-17,282.87890625,288.7849645691947,282.1686090616829,288.3568443041073,32461600,6.671507548992828
2022-02-18,280.15447998046875,285.9243339610583,278.5782326246137,285.1362102831308,34264000,7.150655955177041
2022-02-22,279.9501953125,283.667044304482,276.8171494108671,277.30364703724825,41736100,7.6077392045405885
2022-02-23,272.7013244628906,283.8226809607446,272.53593192514944,282.34370941320185,37811200,8.354449330261877
2022-02-24,286.63470458984375,287.1893190812472,264.18769411268437,265.1509797276121,56989700,8.392100504053431
2022-02-25,289.2812194824219,289.5925850932438,283.7740627265268,287.169836388477,32546700,8.40558534309349
2022-02-28,290.7212829589844,291.0618372631697,285.08763168422934,286.36225319102664,34627500,8.192332862452842
2022-03-01,286.9849853515625,291.8694112336757,284.2605806030305,288.39581076836447,31217800,7.8027538626375845
2022-03-02,292.08343505859375,293.3288677421849,285.76870563477496,287.3838515564128,31873000,7.484261357278335
2022-03-03,287.92877197265625,294.9440595212997,286.1092458840399,294.71055015953465,27314500,6.651869257628895
2022-03-04,282.0323486328125,287.6757380929094,279.41501910209644,286.34273954173915,32356500,6.767134014154736
2022-03-07,271.3780517578125,281.866937162659,271.0083088894963,280.73825934643935,43157200,7.44234244828355
2022-03-08,268.4007263183594,276.29170297461434,262.7086985771629,270.2980491031206,48159500,8.425462997083278
2022-03-09,280.7091064453125,281.7794070706236,273.1975825478418,275.78575326233744,35204500,8.172602145370004
2022-03-10,277.8777160644531,278.86045079071647,273.00300025162977,275.3771110899081,30628000,7.269510011297877
2022-03-11,272.5066833496094,281.6917573984055,271.8839523731397,280.18359751733226,27209300,7.328257061835213
2022-03-14,268.9747314453125,277.69275804818363,268.3714793158445,272.76940588345786,30660700,7.902962783432504
2022-03-15,279.3955383300781,280.04745811524,271.2029361781825,272.77918349658523,34245100,7.853334302951002
2022-03-16,286.44012451171875,286.615256553896,275.5523038210931,281.3026803934849,37826300,7.580089076140938
2022-03-17,287.2476806640625,287.62713339972385,281.55565208145566,285.36980681566314,30816600,7.344778655616026
2022-03-18,292.3169860839844,292.8716005603134,284.82493969968124,287.3936319849258,43390600,7.749425500892473
2022-03-21,291.081298828125,292.0348449816022,286.936329044667,290.8186007675323,28351200,8.016346893773683
2022-03-22,295.8489685058594,296.7635865250529,290.7018147073702,291.70399874625735,27599700,8.548746271515794
2022-03-23,291.4023132324219,295.04133535066865,289.6801224754743,292.39478730715103,25715400,8.38096059596376
2022-03-24,295.8878173828125,295.9851228320078,290.26390686339175,291.0617699759575,24484500,8.782051373394815
2022-03-25,295.4792175292969,297.2500761733561,291.2077834301225,296.98737812137597,22566500,9.067165550001661
2022-03-28,302.30963134765625,302.4069071163755,296.1116267591082,296.1116267591082,29578200,9.809706500842061
2022-03-29,306.8924560546875,307.2913876972963,300.7041904069108,305.43296308129663,30393400,10.933739395754593
2022-03-30,305.38427734375,307.4178635626859,303.1658493438242,305.2870015727423,28163600,11.682296272362859
2022-03-31,299.9841613769531,306.62973552346665,299.57552000270795,305.42320122905414,33422100,12.039657172039865
2022-04-01,301.06414794921875,301.75496613549694,297.28892232259466,301.0154803795944,27110500,12.32700152463627
2022-04-04,306.4642333984375,306.6004372565367,301.3462702456196,301.71601309302554,24289600,12.254116804722461
2022-04-05,302.4847717285156,306.3670133210519,301.5020370122259,304.8102149635358,23156700,11.390302380880478
2022-04-06,291.4120788574219,298.70954326954427,288.6974137819439,296.9484242335621,40110400,11.07971131390134
2022-04-07,293.2315368652344,295.4499645685102,288.3471120141366,288.64873812822793,31411200,10.529853993274203
2022-04-08,288.9504089355469,292.98833340111605,288.27903981815683,292.3267037384144,24361900,9.403332107182944
2022-04-11,277.556640625,284.7081321151136,277.30365235252583,283.9102985595844,34569300,8.330460941015922
2022-04-12,274.4429931640625,282.88858343280907,272.91538374380576,281.42909079539396,30966700,8.861093468439062
2022-04-13,279.85284423828125,280.7869112145309,273.70350811660876,275.0949136683169,21907200,9.28086806065304
2022-04-14,272.27325439453125,280.5242650057642,271.7770469964598,280.31020485779595,28221600,10.389126942186374
