Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,
Date,,,,,,
2022-01-03,30.06613540649414,30.65506088396236,29.730746983010228,29.760693023921544,391547000,
2022-01-04,29.236650466918945,30.412504289099896,28.297364472268455,30.221852202431464,527154000,
2022-01-05,27.5537166595459,29.362416195459534,27.482846846044094,28.89626592286061,498064000,
2022-01-06,28.126672744750977,28.38619937836592,27.015701130720288,27.589652615169747,454186000,
2022-01-07,27.197370529174805,28.37023146068801,27.007716072731807,28.089743152747793,409939000,
2022-01-10,27.350088119506836,27.41896267365965,25.597286309445213,26.53257975603974,594681000,
2022-01-11,27.766334533691406,28.013883931869568,26.790117092572483,27.273234805723128,404089000,
2022-01-12,27.947999954223633,28.542913097666553,27.557711420208538,28.015874979351672,383413000,
2022-01-13,26.52659034729004,28.428118880864627,26.449729045737588,28.32730303530452,540171000,
2022-01-14,26.892925262451172,27.147461852547423,26.162258231690252,26.25209445126841,395832000,
2022-01-18,25.855817794799805,26.589479608098458,25.72306063189079,26.212167872798418,424270000,
2022-01-19,25.02134132385254,26.494652706389434,25.00636925473793,26.031499059207142,488315000,
2022-01-20,24.10601043701172,25.532408368979212,24.034141082261314,25.257909661766874,435181000,
2022-01-21,23.331424713134766,24.777784759787487,23.220626839158037,23.464181874321053,718958000,
2022-01-24,23.32942771911621,23.33741256836442,20.849953063353034,22.289325901497904,913982000,
2022-01-25,22.283334732055664,22.901208567764087,21.9599255139499,22.50493046590802,664616000,
2022-01-26,22.730520248413086,24.013179473462507,22.259379872780205,23.197668199419752,755959000,
2022-01-27,21.904027938842773,23.95129251401935,21.635516933141698,23.525070274294848,573353000,
2022-01-28,22.79839515686035,22.816362018022183,21.25720705922735,21.971902408548047,543774000,
2022-01-31,24.441396713256836,24.464355532642244,23.010008851932348,23.139771208085534,564680000,2.4755571219090995
2022-02-01,24.593120574951172,25.09919700704266,23.84648201482847,25.05827132598659,518925000,2.263657598751495
2022-02-02,25.19602394104004,25.769975474149156,24.508277827684687,25.747018555149506,543419000,2.0808077420837403
2022-02-03,23.904375076293945,25.031318143875318,23.736681844608352,24.413446263177633,410178000,2.0272595923534893
2022-02-04,24.274702072143555,24.590126448449606,23.588953199928845,23.928334026677387,354829000,1.900082080820628
2022-02-07,24.682958602905273,25.13613021047086,24.15791573679818,24.32760615805768,376868000,1.8196446229955843
